Materials Name,Molecule Name,Can Pass SievingPore Size,Structure Type,Material Category,Sieving Mechanism,Molecular Size,Mechanism,File Name,Test Conditions,Threshold Pressure,Additional Info,,,,,,,,,
Zr-MOF(BDC),water,Yes,5.1 Å (maximum aperture size),12-connected face-centered cubic,MOF membrane,Size exclusion at sub-nanometer scale,2.76 Å,Size exclusion,s41563-023-01541-0.json,25 °C,Not Applicable,Freely passes through the lattice while rejecting hydrated ions,,,,,,,,
Zr-mes-FA,n-hexane,Yes,"3.02 Å (PLD), 5.29 Å (LCD)",1D channels,MOFs,Size exclusion at sub-nanometer scale,0.43 nm,Size exclusion,d4sc05749j.json,"303 K to 423 K, 10 kPa",Not Applicable,Adsorption capacity reduced at higher temperatures,,,,,,,,
Zr-mes-FA,2-methylpentane,No,"3.02 Å (PLD), 5.29 Å (LCD)",1D channels,MOFs,Size exclusion at sub-nanometer scale,0.50 nm,Size exclusion,d4sc05749j.json,"303 K to 423 K, 10 kPa",Not Applicable,Negligible adsorption at all temperatures,,,,,,,,
Zr-mes-FA,3-methylpentane,No,"3.02 Å (PLD), 5.29 Å (LCD)",1D channels,MOFs,Size exclusion at sub-nanometer scale,0.50 nm,Size exclusion,d4sc05749j.json,"303 K to 423 K, 10 kPa",Not Applicable,Negligible adsorption at all temperatures,,,,,,,,
Zr-mes-FA,"2,3-dimethylbutane",No,"3.02 Å (PLD), 5.29 Å (LCD)",1D channels,MOFs,Size exclusion at sub-nanometer scale,0.56 nm,Size exclusion,d4sc05749j.json,"303 K to 423 K, 10 kPa",Not Applicable,Completely excluded at all temperatures,,,,,,,,
Zr-mes-FA,"2,2-dimethylbutane",No,"3.02 Å (PLD), 5.29 Å (LCD)",1D channels,MOFs,Size exclusion at sub-nanometer scale,0.56 nm,Size exclusion,d4sc05749j.json,"303 K to 423 K, 10 kPa",Not Applicable,Completely excluded at all temperatures,,,,,,,,
Zr-Me-fcu-MOF,acetone,Yes,"0.56 nm (smallest possible aperture), 0.85 nm (largest possible aperture)",fcu topology with tetrahedral and octahedral cages,MOF composite,Nonselective interfacial voids enable solute molecules of different sizes to pass through.,Not Reported,Size exclusion at sub-nanometer scale,10.1002-adma.202314206.json,"Annealed membrane, cross-flow nanofiltration at 30 bar",Not Applicable,Acetone permeance through MMe was 18.3 ± 0.5 L m�? h�? bar�?.,,,,,,,,
Zr-Me-fcu-MOF,polystyrene standards,Conditional (see Additional Info),"0.56 nm (smallest possible aperture), 0.85 nm (largest possible aperture)",fcu topology with tetrahedral and octahedral cages,MOF composite,Nonselective interfacial voids enable solute molecules of different sizes to pass through.,Not Reported,Size exclusion at sub-nanometer scale,10.1002-adma.202314206.json,"Annealed membrane, cross-flow nanofiltration at 30 bar",Not Applicable,"Lower rejection values across the range, highest solute rejection �?5%.",,,,,,,,
Zr-IMAC@MCM-48,proteins,No,2.5 nm,Not Reported,Other,Size exclusion at sub-nanometer scale combined with Zr4+-based specific enrichment,Not Reported,Size exclusion,10.1021-acs.analchem.3c02150.json,"Room temperature, serum samples",Not Applicable,Proteins are excluded due to size exclusion nature of mesopores.,,,,,,,,
Zr-IMAC@MCM-48,endogenous phosphopeptides,Yes,2.5 nm,Not Reported,Other,Size exclusion at sub-nanometer scale combined with Zr4+-based specific enrichment,MW range: 1200-5000 Da,Specific chelation with Zr4+,10.1021-acs.analchem.3c02150.json,"Room temperature, serum samples",Not Applicable,Endogenous phosphopeptides are enriched via specific Zr4+-phosphate interaction.,,,,,,,,
Zr-fum-MOF@PVA,methanol,Yes,4.5 Å,Not Reported,MOF composite,Size exclusion at sub-nanometer scale,3.8 Å,Size exclusion at sub-nanometer scale,10.1021-acs.iecr.4c03122.json,"50 °C, feed concentration: 10 wt % methanol",Not Applicable,The membrane shows improved methanol permeability compared to pristine PVA.,,,,,,,,
Zr-fum-MOF@PVA,dimethyl carbonate,No,4.5 Å,Not Reported,MOF composite,Size exclusion at sub-nanometer scale,4.7-6.3 Å,Size exclusion at sub-nanometer scale,10.1021-acs.iecr.4c03122.json,"50 °C, feed concentration: 10 wt % methanol",Not Applicable,The separation factor is significantly higher than that of pristine PVA.,,,,,,,,
Zr-fum-MOF@CS,methanol,Yes,4.5 Å,Not Reported,MOF composite,Size exclusion at sub-nanometer scale,3.8 Å,Size exclusion at sub-nanometer scale,10.1021-acs.iecr.4c03122.json,"50 °C, feed concentration: 10 wt % methanol",Not Applicable,The separation factor is 331.1 with a total flux of 284.6 g·m⁻²·h⁻�?,,,,,,,,
Zr-fum-MOF@CS,dimethyl carbonate,No,4.5 Å,Not Reported,MOF composite,Size exclusion at sub-nanometer scale,4.7-6.3 Å,Size exclusion at sub-nanometer scale,10.1021-acs.iecr.4c03122.json,"50 °C, feed concentration: 10 wt % methanol",Not Applicable,The separation factor is 331.1 with a total flux of 284.6 g·m⁻²·h⁻�?,,,,,,,,
Zr-fum-fcu-MOF,carbon dioxide,Yes,3.3 Å < d < 4.6 Å (aperture size),fcu topology with triangular pore-apertures,MOF membrane,Conformation-controlled molecular sieving effect,3.3 Å,Size exclusion,10.1002-adma.201807513_1747623554800878_10.1002@adma.201807513.json,Not Reported,Not Applicable,Passes through the aperture with little hindrance.,,,,,,,,
Zr-fum-fcu-MOF,methane,Yes,3.3 Å < d < 4.6 Å (aperture size),fcu topology with triangular pore-apertures,MOF membrane,Conformation-controlled molecular sieving effect,3.8 Å,Size exclusion,10.1002-adma.201807513_1747623554800878_10.1002@adma.201807513.json,Not Reported,Not Applicable,Passes through the aperture with little hindrance.,,,,,,,,
Zr-fum-fcu-MOF,ethylene,Yes,3.3 Å < d < 4.6 Å (aperture size),fcu topology with triangular pore-apertures,MOF membrane,Conformation-controlled molecular sieving effect,4.2 Å,Size exclusion,10.1002-adma.201807513_1747623554800878_10.1002@adma.201807513.json,Not Reported,Not Applicable,Passes through the aperture with little hindrance.,,,,,,,,
Zr-fum-fcu-MOF,ethane,Yes,3.3 Å < d < 4.6 Å (aperture size),fcu topology with triangular pore-apertures,MOF membrane,Conformation-controlled molecular sieving effect,4.4 Å,Size exclusion,10.1002-adma.201807513_1747623554800878_10.1002@adma.201807513.json,Not Reported,Not Applicable,Passes through the aperture with little hindrance.,,,,,,,,
Zr-fum-fcu-MOF,propylene,Yes,3.3 Å < d < 4.6 Å (aperture size),fcu topology with triangular pore-apertures,MOF membrane,Conformation-controlled molecular sieving effect,4.6 Å,Conformation-controlled molecular sieving,10.1002-adma.201807513_1747623554800878_10.1002@adma.201807513.json,"35 °C, 106 kPa",Not Applicable,Both 'staggered' and 'eclipsed' conformations can pass through the aperture.,,,,,,,,
Zr-fum-fcu-MOF,propane,Conditional (see Additional Info),3.3 Å < d < 4.6 Å (aperture size),fcu topology with triangular pore-apertures,MOF membrane,Conformation-controlled molecular sieving effect,4.92 Å,Conformation-controlled molecular sieving,10.1002-adma.201807513_1747623554800878_10.1002@adma.201807513.json,"35 °C, 106 kPa",Not Applicable,Only 'eclipsed-D' conformation can pass through the aperture.,,,,,,,,
Zr-fum-fcu-MOF,n-butane,Yes,3.3 Å < d < 4.6 Å (aperture size),fcu topology with triangular pore-apertures,MOF membrane,Conformation-controlled molecular sieving effect,4.9 Å,Conformation-controlled molecular sieving,10.1002-adma.201807513_1747623554800878_10.1002@adma.201807513.json,Not Reported,Not Applicable,Aligns methyl groups with methylene bridge to pass through the aperture.,,,,,,,,
Zr-fum-fcu-MOF,isobutane,No,3.3 Å < d < 4.6 Å (aperture size),fcu topology with triangular pore-apertures,MOF membrane,Conformation-controlled molecular sieving effect,5.0 Å,Size exclusion,10.1002-adma.201807513_1747623554800878_10.1002@adma.201807513.json,Not Reported,Not Applicable,Fully blocked due to lack of allowable conformations.,,,,,,,,
Zr-fum-fcu-MOF,n-butane,Yes,"Varies with defect control (e.g., Zr-fum-100: narrow aperture, Zr-fum-200: wider aperture)",fcu-net with tetrahedral and octahedral cages,MOFs,Defect-controlled molecular sieving,4.69 Å,size exclusion,10.1016_j.cej.2025.160992.json,293 K,Not Applicable,adsorbed effectively,,,,,,,,
Zr-fum-fcu-MOF,isobutane,Conditional (see Additional Info),"Varies with defect control (e.g., Zr-fum-100: narrow aperture, Zr-fum-200: wider aperture)",fcu-net with tetrahedral and octahedral cages,MOFs,Defect-controlled molecular sieving,5.28 Å,size exclusion,10.1016_j.cej.2025.160992.json,293 K,Not Applicable,excluded in Zr-fum-100 but partially adsorbed in Zr-fum-200 and Zr-fum-20,,,,,,,,
Zr-fum-fcu-MOF,propylene,Yes,Contracted triangular apertures (exact size not reported),3D cages,MOF membrane,Conformation-controlled molecular sieving through contracted triangular pore apertures.,0.46 nm,Conformation-controlled sieving,s41560-021-00881-y.json,"25 °C, 1-7 atm",Not Applicable,Double-eclipsed conformers of propylene pass with less hindrance.,,,,,,,,
Zr-fum-fcu-MOF,propane,No,Contracted triangular apertures (exact size not reported),3D cages,MOF membrane,Conformation-controlled molecular sieving through contracted triangular pore apertures.,0.43 nm,Size exclusion,s41560-021-00881-y.json,"25 °C, 1-7 atm",Not Applicable,Staggered conformers of propane are fully excluded.,,,,,,,,
Zr-fum-fcu-MOF,n-butane,Yes,Contracted triangular apertures (exact size not reported),3D cages,MOF membrane,Conformation-controlled molecular sieving through contracted triangular pore apertures.,Not Reported,Size exclusion,s41560-021-00881-y.json,Not Reported,Not Applicable,n-butane permeance is extremely low due to narrow aperture.,,,,,,,,
Zr-fum-fcu-MOF,isobutane,No,Contracted triangular apertures (exact size not reported),3D cages,MOF membrane,Conformation-controlled molecular sieving through contracted triangular pore apertures.,Not Reported,Size exclusion,s41560-021-00881-y.json,Not Reported,Not Applicable,Isobutane is fully excluded due to size.,,,,,,,,
Zr-fum-fcu MOF,methane,No,Not Reported,Not Reported,MOFs,Size exclusion at sub-nanometer scale,Not Reported,Size exclusion,10.1002-adfm.202306202.json,Not Reported,Not Applicable,Methane diffusion is effectively blocked by incorporating mesaconic acid linkers.,,,,,,,,
Zr-fum-FA,n-hexane,Yes,"3.74 Å (PLD), 5.49 Å (LCD)",1D channels,MOFs,Size exclusion at sub-nanometer scale and kinetic sieving at higher temperatures,0.43 nm,Size exclusion,d4sc05749j.json,"303 K to 423 K, 10 kPa",Not Applicable,Strong adsorption at all tested temperatures,,,,,,,,
Zr-fum-FA,2-methylpentane,Temperature-dependent,"3.74 Å (PLD), 5.49 Å (LCD)",1D channels,MOFs,Size exclusion at sub-nanometer scale and kinetic sieving at higher temperatures,0.50 nm,Kinetic sieving,d4sc05749j.json,"303 K to 423 K, 10 kPa",Not Applicable,Adsorption enhanced at higher temperatures,,,,,,,,
Zr-fum-FA,3-methylpentane,Temperature-dependent,"3.74 Å (PLD), 5.49 Å (LCD)",1D channels,MOFs,Size exclusion at sub-nanometer scale and kinetic sieving at higher temperatures,0.50 nm,Kinetic sieving,d4sc05749j.json,"303 K to 423 K, 10 kPa",Not Applicable,Adsorption enhanced at higher temperatures,,,,,,,,
Zr-fum-FA,"2,3-dimethylbutane",No,"3.74 Å (PLD), 5.49 Å (LCD)",1D channels,MOFs,Size exclusion at sub-nanometer scale and kinetic sieving at higher temperatures,0.56 nm,Size exclusion,d4sc05749j.json,"303 K to 423 K, 10 kPa",Not Applicable,Completely excluded at all temperatures,,,,,,,,
Zr-fum-FA,"2,2-dimethylbutane",No,"3.74 Å (PLD), 5.49 Å (LCD)",1D channels,MOFs,Size exclusion at sub-nanometer scale and kinetic sieving at higher temperatures,0.56 nm,Size exclusion,d4sc05749j.json,"303 K to 423 K, 10 kPa",Not Applicable,Completely excluded at all temperatures,,,,,,,,
Zr-fumarate-MOF,propane,Yes,Not Reported,3D cages,MOFs,Size exclusion at sub-nanometer scale,0.43 nm,Thermodynamic selectivity,10.1021-acs.chemmater.9b02322_1747626569989434_iacomi2019.json,"298 K, 1 bar",Not Applicable,Propane is preferentially adsorbed over propylene in defective structures.,,,,,,,,
Zr-fumarate-MOF,propylene,Yes,Not Reported,3D cages,MOFs,Size exclusion at sub-nanometer scale,0.40 nm,Thermodynamic selectivity,10.1021-acs.chemmater.9b02322_1747626569989434_iacomi2019.json,"298 K, 1 bar",Not Applicable,Propylene is less preferentially adsorbed compared to propane in defective structures.,,,,,,,,
Zr-fumarate-mesaconate,nitrogen,Yes,Not Reported,Not Reported,MOF membrane,Asymmetric pore windows for molecular sieving,0.364 nm,Asymmetric pore window allows linear molecules,d3cs00131h.json,Not Reported,Not Applicable,Record-high N2/CH4 separation achieved,,,,,,,,
Zr-fumarate-mesaconate,methane,No,Not Reported,Not Reported,MOF membrane,Asymmetric pore windows for molecular sieving,0.38 nm,Asymmetric pore window rejects tetrahedral molecules,d3cs00131h.json,Not Reported,Not Applicable,Record-high N2/CH4 separation achieved,,,,,,,,
Zr-fumarate MOF membrane,hydrogen,Yes,5.1 Å (aperture size),3D cages,MOF membrane,Framework diversity and designability of pore architecture,0.289 nm,Size exclusion at sub-nanometer scale,s41563-023-01551-y.json,Not Reported,Not Applicable,"Ideal H2/CO2 selectivity of 69.2, mixed H2/CO2 selectivity of 60.1.",,,,,,,,
Zr-fumarate MOF membrane,carbon dioxide,Conditional (see Additional Info),5.1 Å (aperture size),3D cages,MOF membrane,Framework diversity and designability of pore architecture,0.33 nm,Size exclusion at sub-nanometer scale,s41563-023-01551-y.json,Not Reported,Not Applicable,Higher H2/CO2 selectivity than Knudsen diffusion selectivity indicates absence of intercrystalline defects.,,,,,,,,
Zr-fumarate MOF membrane,water,Yes,5.1 Å (aperture size),3D cages,MOF membrane,Framework diversity and designability of pore architecture,Not Reported,Size exclusion at sub-nanometer scale,s41563-023-01551-y.json,Forward osmosis and reverse osmosis modes,Not Applicable,"Water/NaCl selectivity up to 9,000.",,,,,,,,
Zr-fumarate MOF membrane,methanol,Yes,5.1 Å (aperture size),3D cages,MOF membrane,Framework diversity and designability of pore architecture,Not Reported,Size exclusion at sub-nanometer scale,s41563-023-01551-y.json,50 °C,Not Applicable,Methanol/dimethyl carbonate selectivity with >99.5 wt% methanol purity.,,,,,,,,
Zr-fumarate (Zr-fum) MOF,xenon,Yes,Not Reported,Not Reported,MOF membrane,Not Reported,4.0 Å,Size exclusion,10.1016-j.cej.2024.157949.json,Not Reported,Not Applicable,Enhanced xenon adsorption and separation.,,,,,,,,
Zr-fumarate,propene,Yes,Not Reported,Not Reported,MOF membrane,Size exclusion at sub-nanometer scale,0.43 nm,Size exclusion at sub-nanometer scale,d3cs00131h.json,Not Reported,Not Applicable,High propene/propane selectivity achieved,,,,,,,,
Zr-fumarate,propane,No,Not Reported,Not Reported,MOF membrane,Size exclusion at sub-nanometer scale,0.43 nm,Size exclusion at sub-nanometer scale,d3cs00131h.json,Not Reported,Not Applicable,High propene/propane selectivity achieved,,,,,,,,
Zr-fum67-mes33-fcu MOF,nitrogen,Yes,Not Reported,Not Reported,MOF membrane,Not Reported,3.64 Å,Size exclusion,10.1016-j.cej.2024.157949.json,10 bar,Not Applicable,Linear N2 molecules selectively pass while larger methane molecules are blocked.,,,,,,,,
Zr-fum67-mes33-fcu MOF,methane,No,Not Reported,Not Reported,MOF membrane,Not Reported,3.8 Å,Size exclusion,10.1016-j.cej.2024.157949.json,10 bar,Not Applicable,Asymmetric pore windows restrict passage of methane.,,,,,,,,
Zr-fum-200,n-butane,Yes,4.7 Å (widened due to defects),3D cages,MOFs,Defect-induced kinetic control,4.3 Å,Kinetic sieving,10.1021-acs.langmuir.8b03085_1747624061164340_c4982ebcfb8a9beec5afd9539b1b2938.json,"293 K, 1 bar",Not Applicable,Fast adsorption kinetics observed.,,,,,,,,
Zr-fum-200,iso-butane,Conditional (see Additional Info),4.7 Å (widened due to defects),3D cages,MOFs,Defect-induced kinetic control,5 Å,Kinetic sieving,10.1021-acs.langmuir.8b03085_1747624061164340_c4982ebcfb8a9beec5afd9539b1b2938.json,"293 K, 1 bar",Not Applicable,Slow diffusion observed due to widened aperture from defects.,,,,,,,,
Zr-fum-20,n-butane,Yes,4.7 Å (widened due to defects),3D cages,MOFs,Thermodynamically driven separation,4.3 Å,Thermodynamic equilibrium,10.1021-acs.langmuir.8b03085_1747624061164340_c4982ebcfb8a9beec5afd9539b1b2938.json,"293 K, 1 bar",Not Applicable,Retention time ~13.7 minutes in breakthrough tests.,,,,,,,,
Zr-fum-20,iso-butane,Yes,4.7 Å (widened due to defects),3D cages,MOFs,Thermodynamically driven separation,5 Å,Thermodynamic equilibrium,10.1021-acs.langmuir.8b03085_1747624061164340_c4982ebcfb8a9beec5afd9539b1b2938.json,"293 K, 1 bar",Not Applicable,Retention time ~7.8 minutes in breakthrough tests.,,,,,,,,
Zr-fum-100,n-butane,Yes,4.7 Å,3D cages,MOFs,Size exclusion at sub-nanometer scale,4.3 Å,Size exclusion,10.1021-acs.langmuir.8b03085_1747624061164340_c4982ebcfb8a9beec5afd9539b1b2938.json,"293 K, 1 bar",Not Applicable,Fast adsorption kinetics observed.,,,,,,,,
Zr-fum-100,iso-butane,No,4.7 Å,3D cages,MOFs,Size exclusion at sub-nanometer scale,5 Å,Size exclusion,10.1021-acs.langmuir.8b03085_1747624061164340_c4982ebcfb8a9beec5afd9539b1b2938.json,"293 K, 1 bar",Not Applicable,Negligible uptake observed in breakthrough experiments.,,,,,,,,
ZrFA-D-Cu(I),acetylene,Yes,Comparable to ZrFA-D with Cu(I) sites,1D channels with defects and Cu(I) sites,MOFs,Size exclusion with Cu(I)-enhanced interactions,3.3 Å,Size exclusion with strong σ-π coordination to Cu(I),10.1002-anie.202505978.json,"298 K, 1 bar",Not Applicable,Adsorption capacity: 2.03 mmol/g at 273 K; 1.52 mmol/g at 298 K,,,,,,,,
ZrFA-D-Cu(I),ethylene,No,Comparable to ZrFA-D with Cu(I) sites,1D channels with defects and Cu(I) sites,MOFs,Size exclusion with Cu(I)-enhanced interactions,4.163 Å,Size exclusion,10.1002-anie.202505978.json,"298 K, 1 bar",Not Applicable,Adsorption capacity: 1.01 mmol/g at 273 K; 0.501 mmol/g at 298 K,,,,,,,,
ZrFA-D-Cu(I),carbon dioxide,Yes,Comparable to ZrFA-D with Cu(I) sites,1D channels with defects and Cu(I) sites,MOFs,Size exclusion with Cu(I)-enhanced interactions,3.3 Å,Size exclusion with Cu(I)-O interaction,10.1002-anie.202505978.json,"298 K, 1 bar",Not Applicable,Adsorption capacity: 1.33 mmol/g at 273 K; 0.809 mmol/g at 298 K,,,,,,,,
ZrFA-D,acetylene,Yes,Larger than ZrFA due to defects,1D channels with defects,MOFs,Size exclusion with defect-enhanced interactions,3.3 Å,Size exclusion with enhanced affinity due to defects,10.1002-anie.202505978.json,"298 K, 1 bar",Not Applicable,Adsorption capacity: 1.74 mmol/g at 273 K; 1.33 mmol/g at 298 K,,,,,,,,
ZrFA-D,ethylene,No,Larger than ZrFA due to defects,1D channels with defects,MOFs,Size exclusion with defect-enhanced interactions,4.163 Å,Size exclusion,10.1002-anie.202505978.json,"298 K, 1 bar",Not Applicable,Adsorption capacity: 0.829 mmol/g at 273 K; 0.513 mmol/g at 298 K,,,,,,,,
ZrFA-D,carbon dioxide,Yes,Larger than ZrFA due to defects,1D channels with defects,MOFs,Size exclusion with defect-enhanced interactions,3.3 Å,Size exclusion with enhanced affinity due to defects,10.1002-anie.202505978.json,"298 K, 1 bar",Not Applicable,Adsorption capacity: 1.25 mmol/g at 273 K; 0.795 mmol/g at 298 K,,,,,,,,
Zr-FA,carbon dioxide,Yes,3.4 Å,1D channels,MOFs,Size-discriminative molecular sieving,3.30 Å,Size exclusion,d3ce00085k.json,"298 K, 1 bar",Not Applicable,CO2 uptake: 72.4 cm³ cm⁻�? Isosteric heat of adsorption (Qst): 35.6 kJ mol⁻�?,,,,,,,,
